URL,Value,Duration,Status,Opens,Closes,Quick Links,Overview,Eligibility,Selection Process
https://www.uts.edu.au/scholarship/financial-advice-association-australia-scholarship-women,"$10,000",One (1) Year,Closed,17/04/2023,10/05/2023,/sites/default/files/2023-04/CoA%20Financial%20Advice%20Association%20of%20Australia%20Scholarship%20for%20Women%20v1.00%20PUBLISHED.pdf,"The scholarship is to provide financial support to female students undertaking a UTS Business School degree in Accounting, Economics and/or Finance.  The purpose of the Scholarship is to encourage and assist women to enter, or re-enter the Financial sector and to achieve leadership roles across financial services.  The scholarship funding is administered by the Financial Advice Association of Australia which is the primary membership organisation for financial planning practitioners who want to master the practice of financial planning, and who are committed to shaping the future of the profession.  As part of this continued commitment to excellence and with grant support from the Department of the Prime Minister and Cabinet’s Office for Women, FAA wish to provide meaningful equity opportunities for students in pursuing finance and economics education.","As demonstrated in the scholarship application:
Demonstrating intersecting sources of disadvantage, including but not limited to, women who demonstrate one or more of the following criteria:
	Re-entering the workforce (women of any age)
Low socio-economic status
Mature age
Residing in a rural or remote area
Indigenous Australian (Aboriginal and Torres Strait Islander only)
New Migrant       

Motivation to succeed in your studies.
Evidence of how the scholarship would assist you perform and/ or achieve in your course at a higher level than would otherwise be the case.
Demonstrate how your personal circumstances align to the goals of the scholarship as outlined by the Financial Planning Association’s scholarship purpose.","As demonstrated in the scholarship application:
Demonstrating intersecting sources of disadvantage, including but not limited to, women who demonstrate one or more of the following criteria:
	Re-entering the workforce (women of any age)
Low socio-economic status
Mature age
Residing in a rural or remote area
Indigenous Australian (Aboriginal and Torres Strait Islander only)
New Migrant       

Motivation to succeed in your studies.
Evidence of how the scholarship would assist you perform and/ or achieve in your course at a higher level than would otherwise be the case.
Demonstrate how your personal circumstances align to the goals of the scholarship as outlined by the Financial Planning Association’s scholarship purpose."
https://www.uts.edu.au/scholarship/global-exchange-scholarship,"$1,000",1 session,Open,,01/01/2021,http://www.uts.edu.au/current-students/opportunities/global-exchange/what-global-exchange,Every semester UTS International offers grants to assist students with the costs associated with going on exchange.Applications for Global Exchange Grants are competitive and awarded on the basis of merit and destination.,Global Exchange Grants are awarded to students with the highest average marks in their current UTS degrees. The decision regarding the success of the grant application is final and there is no appeal process.,Global Exchange Grants are awarded to students with the highest average marks in their current UTS degrees. The decision regarding the success of the grant application is final and there is no appeal process.
https://www.uts.edu.au/current-students/opportunities/global-exchange/what-global-exchange,,,,,,,,,
https://www.uts.edu.au/scholarship/uts-women-entrepreneurship-scholarship,"$25,000","The duration of the Scholarship is one (1) year. A Recipient with an approved part-time study load may receive reduced pro-rata payment for the period of part-time study, therefore extending the tenure of the scholarship.",Closed,02/01/2023,20/02/2023,/sites/default/files/2022-01/UTS%20Women%20in%20Entrepreneurship%20Scholarship_CoA_PUBLISHED.pdf,The scholarship was established to support aspiring women entrepreneurs studying the MBA in Entrepreneurship (MBAe) in the Faculty of Business.,"The applicant must meet all of the following criteria in both the written scholarship application and interview:
Demonstrated leadership, drive for success and positive impact on community
Demonstrated a moral commitment and capacity to give back to the community and a vision to give back in the future
presented a compelling, creative, innovative and unique venture proposal","The applicant must meet all of the following criteria in both the written scholarship application and interview:
Demonstrated leadership, drive for success and positive impact on community
Demonstrated a moral commitment and capacity to give back to the community and a vision to give back in the future
presented a compelling, creative, innovative and unique venture proposal"
https://www.uts.edu.au/scholarship/wanago-access-scholarship-young-women,"Up to $50,000",Up to five (5) years,Closed,14/08/2023,10/09/2023,/sites/default/files/2023-08/The%20Wanago%20Access%20Scholarship%20for%20Young%20Women%20CoA%20v2.01%20PUBLISHED.pdf; https://www.uts.edu.au/about/faculty-engineering-and-information-technology/what-we-do/wanago-program; https://www.uac.edu.au/future-applicants/scholarships-and-schemes/equity-scholarships; https://www.uac.edu.au/future-applicants/scholarships-and-schemes/educational-access-schemes; https://www.uts.edu.au/study/undergraduate/admission-requirements/admissions-schemes/educational-access-schemes/schools-recommendation-scheme,"The Wanago Access Scholarship for Young Women aims to support a female Wanago participant who has the personal potential and commitment to study engineering or IT, and can demonstrate financial disadvantage.","Eligible candidates will be presented to a Scholarship Selection Committee, which will undertake the selection of Recipients, based on the following selection criteria:Motivation and commitment to succeed in a career in STEMValue derived from their participation in the Wanago ProgramMotivation to act as an ambassador or role model for other young women, and to support the next generation of Wanago participantsFinancial need and/or other categories of disadvantage. Preference will be given to applicants that demonstrate financial hardship through either UAC Equity Scholarship, the School’s Recommendation and/or Education Access Scheme","Eligible candidates will be presented to a Scholarship Selection Committee, which will undertake the selection of Recipients, based on the following selection criteria:Motivation and commitment to succeed in a career in STEMValue derived from their participation in the Wanago ProgramMotivation to act as an ambassador or role model for other young women, and to support the next generation of Wanago participantsFinancial need and/or other categories of disadvantage. Preference will be given to applicants that demonstrate financial hardship through either UAC Equity Scholarship, the School’s Recommendation and/or Education Access Scheme"
https://www.uac.edu.au/future-applicants/scholarships-and-schemes/equity-scholarships,,,,,,,,,
https://www.uts.edu.au/about/faculty-engineering-and-information-technology/what-we-do/wanago-program,,,,,,,,,
https://www.uts.edu.au/scholarship/uts-30th-anniversary-study-abroad-accommodation-scholarship,Accommodation,1 session,Closed,02/05/2018,01/06/2018,/sites/default/files/scholarship-attachments/322994_%24S1_RSPRWD_STUDY%20ABROAD%20ACCOMMODATION.pdf,"To celebrate the 30th anniversary of the establishment of the University of Technology Sydney, and to grow the number of study abroad students by promoting UTS as one of the most international, innovative and successful young universities in the world.Please read the  Conditions of Award for full details about this Scholarship.","Applicants are selected based on:
Academic merit in the academic qualification used as basis of admission; and
Demonstrated involvement in the community, social and study life at the home University as demonstrated in the Scholarship application; and
Demonstrated preparedness and interest in engagement with the UTS housing community as demonstrated in the Scholarship application.","Applicants are selected based on:
Academic merit in the academic qualification used as basis of admission; and
Demonstrated involvement in the community, social and study life at the home University as demonstrated in the Scholarship application; and
Demonstrated preparedness and interest in engagement with the UTS housing community as demonstrated in the Scholarship application."
https://www.uts.edu.au/scholarship/australian-indigenous-education-foundation-uts-scholarship,"$10,000 per year + accommodation",Standard course duration,Open,,01/01/2022,/sites/default/files/scholarship-attachments/323001_%24S1_RSPRWD_AIEF%20UTS%20Scholarship%20CoA%20v1.01%20PUBLISHED.pdf; https://forms.uts.edu.au/index.cfm?FormId=703; http://aief.com.au/,The Australian Indigenous Education Foundation (AIEF) - UTS Scholarship aims to provide support for Indigenous students with accommodation and living expenses and thereby enable Recipients to complete undergraduate or postgraduate study at UTS.,"Involvement in extra-curricular and non-academic activities, particularly those that promote leadership qualities
Motivation to succeed in your studies at UTS and achieve career and professional goals
Ability to show initiative in order to overcome challenges
Commitment to indigenous culture and the community
That being a recipient of the AIEF-UTS scholarship will help you achieve your full potential.","Involvement in extra-curricular and non-academic activities, particularly those that promote leadership qualities
Motivation to succeed in your studies at UTS and achieve career and professional goals
Ability to show initiative in order to overcome challenges
Commitment to indigenous culture and the community
That being a recipient of the AIEF-UTS scholarship will help you achieve your full potential."
https://www.uts.edu.au/scholarship/koch-frances-inclusion-diversity-scholarship,"$18,000",3 years,Closed,,,/sites/default/files/2019-04/Koch%20Frances%20Inclusion%20%26%20Diversity%20Scholarship%20CoA%20v1.01_PUBLISHED.pdf,Koch & Frances Inclusion & Diversity Scholarship is to be established as an inclusion and diversity scholarship to support a female student from an Australian regional or remote area. The Scholarship also aims to increase participation of women in business,"As demonstrated in the scholarship application and interview:
Motivation to succeed in their chosen UTS Business degree program
Demonstrated initiative to seek opportunities to continually advance their professional and personal lives
Likelihood that receiving this scholarship will assist them in achieving their educational goals
Preference may also be given to applicants who have experienced long-term educational disadvantage due to any of the following:
experiencing financial hardship; and/or
from a non-English speaking backgrounds (NESB); and/or
having a disability or long term medical conditions; and/or
experienced other educational barriers and/or personal hardship (including but not limited to carers, sole parents).","As demonstrated in the scholarship application and interview:
Motivation to succeed in their chosen UTS Business degree program
Demonstrated initiative to seek opportunities to continually advance their professional and personal lives
Likelihood that receiving this scholarship will assist them in achieving their educational goals
Preference may also be given to applicants who have experienced long-term educational disadvantage due to any of the following:
experiencing financial hardship; and/or
from a non-English speaking backgrounds (NESB); and/or
having a disability or long term medical conditions; and/or
experienced other educational barriers and/or personal hardship (including but not limited to carers, sole parents)."
