URL,Content
https://www.uts.edu.au/scholarship/scholarship-gaokao-students-peoples-republic-china,"Value: 75% or 50% of UTS Tuition Fees
Duration: Standard duration of UTS Bachelor degree. The maximum duration of the Scholarship is eight sessions under any program.
Overview: To attract top achieving commencing international students completing the Senior Secondary School from China, and are admitted based on their Gaokao results into an undergraduate program at UTS in Sydney.
Who is eligible?: The Scholarship will be awarded on the basis of academic merit, ranked in order of the Gaokao results.
Where there are multiple applicants with the same results, further consideration will be given to the applicant’s response to the following question:
How do you intend to utilise your UTS degree to contribute to the community.
Applicants may be informed in writing to submit a one page statement to address the above question.
The decision to award Scholarships will be made solely by the Scholarships Committee as described in Clause 7 below in its absolute discretion.
"
https://www.uts.edu.au/scholarship/business-deans-scholarship,"Value: $30,000 ($10,000 per year)
Duration: 3 years
Overview: To attract top achieving high school students to UTS Business undergraduate degrees, and support them financially during their study.
Who is eligible?: Academic excellence at year 12 level, ranked in ATAR order, excluding bonus points.First UAC preference to a UTS Business School undergraduate degree at the time of selection will be highly regarded.Candidates who have applied using the optional UTS online Elite School Leavers Scholarships Application form will be highly regarded.Motivation to succeed in the chosen UTS Business School degree program, as demonstrated in the Scholarship application may be considered.Demonstrated initiative in personal and professional life as demonstrated in the Scholarship application may be considered.
"
https://www.uts.edu.au/scholarship/cocogun-creative-scholarship-indigenous-students,"Value: $15,000
Duration: Three (3) years
Overview: To provide financial support to an Australian Indigenous student demonstrating critical and creative thinking, undertaking creative studies at UTS. Coffee Cocoa Gunpowder (aka Cocogun) is a full-service independent creative agency, with the ethos ‘People Are Everything’. The elements of their name are both catalysts for change and signposts to their creativity, humanity and ambition to be audacious.
Who is eligible?: Eligible candidates will be presented to the Scholarship Selection Committee, which will undertake the selection of the Recipient based on the following selection criteria.As demonstrated in the application and interview:Motivation to pursue a career in the creative industriesDemonstrated personal achievement in critical and/or creative thinking e.g. via extra-curricular activitiesHow the Scholarship would assist them perform and/or achieve in their course at a higher level than would otherwise be the caseAcademic Merit (WAM) in one of the eligible degree programsPreference will be given to:students undertaking a combined degree with the Bachelor of Creative Intelligence and Innovation; and/orApplicants with demonstrated academic merit – an ATAR of 80+ for commencing students; and/orEvidence of financial need and/or other education barriers s as assessed by the UAC Equity Scholarship application.
"
https://www.uts.edu.au/scholarship/faculty-arts-and-social-sciences-undergraduate-student-merit-scholarship,"Value: $5,000
Duration: 
Overview: To support continuing, full-time undergraduate UTS Faculty of Arts and Social Sciences students who demonstrate financial need.  Students experiencing other educational disadvantage(s) may be preferenced.
Who is eligible?: Selection will be based on:Academic excellencePreference may be given to students who have achieved a minimum of a Distinction (WAM of 75+) in their course to date.Financial disadvantage as demonstrated via the UAC Equity Scholarship applicationMotivation to succeed in the chosen Faculty of Arts and Social Sciences undergraduate degree, as demonstrated in the Scholarship applicationDemonstrated initiative in personal and professional life, as demonstrated in the Scholarship application.In addition preference may be given to students that have experienced any long-term educational disadvantage as assessed by the UAC Equity Scholarship.  The following equity criteria will be considered:Regional or remote backgroundSole parent responsibilitiesCarer responsibilitiesLong-term medical condition / disability or ongoing effects of abuseIndigenous AustralianRefugee background
"
https://www.uts.edu.au/scholarship/medium-rare-scholarship-indigenous-students,"Value: $15,000
Duration: Three (3) years
Overview: To provide financial support to an Australian Indigenous student commencing a Bachelor of Communication at UTS. The successful applicant will also be given the opportunity to do a paid internship with Medium Rare Content Agency. Medium Rare Content Agency are a leading content marketing agency that connects brands to customers through the creation and distribution of relevant, credible and targeted content across all channels.
Who is eligible?: Eligible candidates will be presented to the Scholarship Selection Committee, which will undertake the selection of the Recipient based on the following selection criteria.
Recipient Selection Criteria
As demonstrated in the application and interview:
Motivation to succeed in their chosen UTS Communications course
Demonstrated personal achievement such as extra-curricular excellence
Passion and motivation to undertake an internship at Medium Rare Content Agency
"
https://www.uts.edu.au/scholarship/western-earthmoving-scholarship-construction-and-engineering,"Value: $10,000 + Opportunity for a Paid Work Placement
Duration: One (1) year
Overview: By offering the annual Western Earthmoving (WEM) Scholarship for Construction and Engineering at UTS, WEM will support a broad range of students in the Engineering and Construction disciplines, and engage students to deepen their understanding and experience of the work of WEM and its impact in the development industry.The Scholarship is open to applicants annually, offering Construction and Engineering students the opportunity to receive a cash grant to support their studies as well as paid work placement with WEM.
Who is eligible?: As demonstrated in the Scholarship application and interview:
Motivation and interest in the UTS course;
Motivation and interest in participating in a paid work placement at WEM;
Personal experience and achievement;
Alignment of the culture, values and goals with those of WEM
"
https://www.uts.edu.au/scholarship/hansen-yuncken-indigenous-construction-scholarship,"Value: $7,500 + Opportunity for a Paid Work Placement
Duration: One (1) year
Overview: The aim of the Hansen Yuncken Indigenous Construction Scholarship is to support an Indigenous Australian student studying the Bachelor of Construction Project Management, by providing financial assistance and the opportunity for a paid cadetship with Hansen Yuncken.
Who is eligible?: As demonstrated in the Scholarship application and interview:
Passion and motivation to pursue a career in Construction;
Initiative to seek opportunities to continually advance their professional and personal lives;
Alignment of values, goals and culture with those of Hansen Yuncken – including commitment to the cultural identity and heritage of the Indigenous community and drive to make positive change and opportunities for Indigenous Australians nationally;
Interest in Hansen Yuncken and in a paid work placement at Hansen Yuncken.
Additional consideration will be given to students who have:
Entered one of the eligible courses as a non-current school leaver; or
Entered their chosen course seeking a return to education from industry, or looking for a career change; or
Extensive experience in industry.
Applicants in any of the above categories should include a work reference with their application.
"
https://www.uts.edu.au/scholarship/hansen-yuncken-scholarship-women-construction,"Value: $7,500 + Paid Work Placement
Duration: One (1) Year
Overview: To encourage and support female students to continue their higher education in the UTS Bachelor of Construction Project Management degree.
Who is eligible?: Motivation to succeed in the Bachelor of Construction and the construction industry, as demonstrated in the Scholarship application and interview; and
Demonstrated initiative in personal and professional life as demonstrated in the Scholarship application and interview; and
Academic merit in:
	For commencing students: the academic qualification used as basis of admission into the UTS undergraduate coursework degree; or
For continuing students: performance in the first year of the UTS Bachelor of Construction Project Management (based on WAM); and

Relevant work experience demonstrated through statements/letters of employment submitted with the Scholarship application may be given preference
"
https://www.uts.edu.au/scholarship/cox-architecture-scholarship,"Value: $10,000 + Paid Work Placement
Duration: Paid over 1 year
Overview: To encourage academic excellence in the Bachelor of Design in Architecture and provide the opportunity for a student to gain insight into the day-to-day operation of the architectural profession through a paid work placement.
Who is eligible?: As demonstrated in the Scholarship application and interview:
Passion for and motivation to pursue a career in Architecture using innovative thinking and exceptional problem-solving skills
Initiative to seek opportunities to continually advance their professional and personal lives
Knowledge of Architecture
Alignment of values, goals and culture with those of Cox Architecture, including motivation to participate in a paid work placement at Cox Architecture
Academic merit, personal experience and achievement may also be taken into consideration.
"
https://www.uts.edu.au/scholarship/quasar-group-scholarship,"Value: Maximum total value of $10,000 + opportunity for a paid work placement
Duration: One (1) year
Overview: The Quasar Group Scholarship aims to encourage academic excellence in the Bachelor of Construction Project Management. The scholarship recipient will also be given an opportunity to undertake work integrated learning experience through a work placement opportunity with the Quasar Group.Quasar Group is a multi-award-winning firm with expertise in construction projects. Their approach is underscored by a commitment to value, safety, quality and integrity.
Who is eligible?: As demonstrated in the Scholarship application and interview:
Passion for and motivation to pursue a career in Construction Project Management;
Innovative thinking and exceptional problem-solving skills;
Initiative to seek opportunities to continually advance their professional and personal lives;
Knowledge of Construction Project Management;
Alignment of values, goals and culture with those of Quasar Group;
Academic merit, and other achievement may also be taken into consideration.
"
