URL,Content
https://www.handbook.uts.edu.au/eng/area/ug.html,"Information Regarding Undergraduate Engineering - The Faculty of Engineering and Information Technology's flagship course is the five-year Bachelor of Engineering (Honours) Diploma in Professional Engineering Practice (C09067). It also offers a four-year Bachelor of Engineering (Honours) (C09066) and a three-year Bachelor of Engineering Science (C10066) to international students only, and a number of combined degrees in partnership with other faculties. The same educational philosophy underpins all awards: students undertake a set of core subjects, a set of practice subjects that defines their major and, in some cases, a set of electives. The Diploma in Professional Engineering Practice award requires the completion of two internships. The single Bachelor of Engineering (Honours) and combined Bachelor of Engineering (Honours) courses require the completion of 12 weeks of work experience. The recognition of prior learning policies and assumed knowledge are the same for all courses."
https://www.handbook.uts.edu.au/eng/area/ug.html,"Course structure - The course comprises five principal components: (i) core program; (ii) Engineering Practice Program; (iii) field of practice (major); (iv) electives; and (v) Capstone Project. The core program, Engineering Practice Program and Capstone Project are common to all students undertaking the BE (Hons) DipProfEngPrac."
https://www.handbook.uts.edu.au/eng/area/ug.html,"Core program -This component provides a framework covering knowledge, skills and attributes that are relevant to all engineers across all fields of practice. It consists of common mathematics and physics subjects, and common engineering subjects which draw on several fields of engineering practice to develop interdisciplinary knowledge and skills within the larger context of professional practice. The core program runs throughout the course from admission to graduation. Students take differing combinations of subjects in their first year, and in each successive year, depending on their choice of major."
https://www.handbook.uts.edu.au/eng/area/ug.html,"Engineering Practice Program - The Engineering Practice Program supports and assesses student learning in workplace and community environments. Its objectives are to prepare students for engineering work experience, to support them during that experience and to assist them in maximising learning. The program also supports the integration of this experiential learning with the theoretical and practical aspects of the academic curriculum. A fundamental objective is to develop the ability to learn in a wide variety of modes and contexts and to critique and contribute to those learning environments on a lifelong basis. The program is administered through a series of subjects offered in various modes. Students enrol in the program as a whole and are guided through the respective modules. Students are ultimately responsible for their progression through the program. Academic staff and workplace mentors and supervisors act as facilitators; administrative staff assist in ensuring that students' progress is recorded and validated; and Industry Partnering Unit staff assist students in securing suitable work placements and in establishing cooperative programs with industry and the community. The minimum time in the workplace required to satisfy each engineering internship subject is 22 weeks. In total, however, 48 weeks must be gained by the required deadline to meet course requirements and to be eligible to graduate. Internships are organised into two blocks of six months each. Students are required to undertake the relevant prerequisite subjects prior to undertaking their internships and in a session following an internship are required to enrol in the appropriate review subjects. Credit point limits also apply to some of these subjects. While students are encouraged to undertake additional work experience, they are only permitted to complete each of the two official internships once."
https://www.handbook.uts.edu.au/eng/area/ug.html,"STM90993 Professional Engineering Practice Program subjects - Details of prerequisite subjects and subjects required to be completed after each internship are as follows: 41035 Professional Practice Preparation1 - 3cp, 41036 Professional Experience 1 - 6cp , 41037 Work Integrated Learning 1 - 12cp, 41038 Professional Practice Review 1 - 3cp, 41045 Professional Practice Preparation 2 - 3cp, 41046 Professional Experience 2 - 6cp, 41047 Work Integrated Learning 2 - 12p, 41048 Professional Practice Review 2 - 3cp, Total - 48p"
https://www.handbook.uts.edu.au/eng/area/ug.html,"Electives - With the exception of combined degrees and double majors, students may devote 24 credit points to electives. A range of electives may be taken to broaden or deepen knowledge. The elective component also provides a mechanism for recognition of prior learning. Further, the elective component affords maximum flexibility for students wishing to undertake study on international exchange with our overseas partner institutions. Students are not permitted to take an elective subject that covers substantially the same material as a required subject or a subject already undertaken. Undergraduate students may enrol in approved UTS Engineering postgraduate subjects provided they have completed at least 120 credit points of their undergraduate degree and met prerequisite requirements. Undergraduate students may undertake up to four approved postgraduate subjects. A maximum of three approved postgraduate subjects recently undertaken as part of an undergraduate degree may be used to apply for exemptions from a UTS Engineering master's degree provided the subjects fulfil the equivalent subject requirements."
https://www.handbook.uts.edu.au/courses/c09067.html,"C09067v6 Bachelor of Engineering (Honours) Diploma in Professional Engineering Practice - The program leading to the award of Bachelor of Engineering (Honours) Diploma in Professional Engineering Practice (C09067) (BE(Hons) DipProfEngPrac) is a comprehensive preparation for careers in the professional practice of engineering. The BE(Hons) DipProfEngPrac is a combined award and the Diploma in Professional Engineering Practice is not available separately. Both elements of the program are closely interwoven and interdependent, and prepare students for professional engineering internships by linking theory and application. The degrees combining engineering with business, international studies, medical science and science may also be combined with the Diploma in Professional Engineering Practice. As noted above, the combination of formal academic learning in the University and experiential learning in the workplace is called 'cooperative education'. UTS Engineering courses have embodied this principle for over 30 years. The courses are highly regarded in industry and, according to many reports and surveys, graduates have enjoyed correspondingly high employment rates – the highest of any engineering degree courses in Australia. Engineering education in many countries is undergoing revolutionary change and the UTS program is at the forefront of much of this change. Overview - This program is a comprehensive preparation for careers in the professional practice of engineering. Students learn to deal with complex systems and manage large-scale projects using the most appropriate emerging technologies. The course offers an authentic, professionally focused and practice-based education program with two sessions of internship (normally paid) in a real workplace setting. A number of the areas of study are available with explicit specialisations. For example, Civil Engineering is available with specialisations in Structures and Construction. Students can also focus on or broaden their studies by completing electives. By appropriate choice of electives, students can gain knowledge in a second engineering discipline, obtain a sub-major in a different field or study postgraduate-level subjects and apply for credit towards an engineering master's degree. The concept has been strongly endorsed in wide-ranging industry consultations. Interaction between work experience and academic curriculum is very strong, giving the program a depth that no other full-time academic course can match. Course aims - The course aims to equip graduates with the skills and attributes needed for professional practice and leadership. It is based on the themes of academic development, personal development and professional formation. It provides sound foundations in engineering theory, technical expertise and knowledge of professional practice, while also developing academic literacy, advocacy skills and social awareness so that graduates become lifelong learners and effective citizens in many different capacities. Career options - Career options depend on the major chosen. Course intended learning outcomes - A.1 - Bachelor of Engineering (Honours) Diploma in Professional Engineering Practice graduates are culturally and historically well informed, able to co-design projects as respectful professionals when working in and with Aboriginal and Torres Strait Islander communities, B.1 - Bachelor of Engineering (Honours) Diploma in Professional Engineering Practice graduates identify, engage, interpret and analyse stakeholder needs and cultural perspectives, establish priorities and goals, and identify constraints, uncertainties and risks (social, ethical, cultural, legislative, environmental, economics etc.) to define the system requirements, C.1 - Bachelor of Engineering (Honours) Diploma in Professional Engineering Practice graduates apply research, problem solving, design and decision-making methodologies to develop components, systems and processes to meet specified requirements, D.1 - Bachelor of Engineering (Honours) Diploma in Professional Engineering Practice graduates apply abstraction, mathematics and discipline fundamentals, software, tools and techniques to evaluate, implement and operate systems, E.1 - Bachelor of Engineering (Honours) Diploma in Professional Engineering Practice graduates work as an effective member or leader of diverse teams, communicating effectively and operating within cross-disciplinary and cross-cultural contexts in the workplace, F.1 - Bachelor of Engineering (Honours) Diploma in Professional Engineering Practice graduates critically self-review their performance to improve themselves, their teams and workplace. They take responsibility and accountability for their own life long learning. Admission requirements - Applicants must have completed an Australian Year 12 qualification, Australian Qualifications Framework Diploma, or equivalent Australian or overseas qualification at the required level. Current school leavers are advised to complete the Year 12 Engineering and IT Questionnaire. The questionnaire allows applicants to demonstrate their strong motivation to study engineering or IT at UTS and may assist applicants whose ATAR falls short of the required cut-off by up to three points. Non-current school leavers are advised to complete the employment question on their UAC application and provide supporting statements of employment to UAC, as adjustment factors may be applied on the basis of relevant work experience. The English proficiency requirement for international students or local applicants with international qualifications is: Academic IELTS: 6.5 overall with a writing score of 6.0; or TOEFL: paper based: 550-583 overall with TWE of 4.5, internet based: 79-93 overall with a writing score of 21; or AE5: Pass; or PTE: 58-64 with a writing score of 50; or C1A/C2P: 176-184 with a writing score of 169. Eligibility for admission does not guarantee offer of a place. Local students - Entry to individual engineering majors is subject to ATAR requirements. International students - Applicants who successfully complete a recognised pathway program are eligible to apply. Visa requirement: To obtain a student visa to study in Australia, international students must enrol full time and on campus. Australian student visa regulations also require international students studying on student visas to complete the course within the standard full-time duration. Students can extend their courses only in exceptional circumstances. Pathway course - Applicants who complete the UTS College Diploma of Engineering with no more than two subject failures are guaranteed admission to the Bachelor of Engineering (Honours) Diploma in Professional Engineering Practice with up to 48 credit points of recognition of prior learning (depending on the major selected). Inherent (essential) requirements - Inherent (essential) requirements are academic and non-academic requirements that are essential to the successful completion of a course. Prospective and current students should carefully read the Inherent (Essential) Requirements Statement below and consider whether they might experience challenges in successfully completing this course. This Statement should be read in conjunction with the UTS Student Rules. Prospective or current student concerned about their ability to meet these requirements should discuss their concerns with the Academic Liaison Officer in their faculty or school and/or UTS Accessibility Service on 9514 1177 or at accessibility@uts.edu.au. UTS will make reasonable adjustments to teaching and learning, assessment, professional experiences, course related work experience and other course activities to facilitate maximum participation by students with disabilities, carer responsibilities, and religious or cultural obligations in their courses. For course specific information see the Faculty of Engineering & Information Technology Inherent (Essential) Requirements Statement. Assumed knowledge - HSC Mathematics Extension 1; Physics; and English Standard. English Advanced is recommended. For the Biomedical, Civil, and Civil and Environmental Engineering majors, Chemistry is recommended. For the Software Engineering major, a sound knowledge of the fundamentals of programming is recommended. Recognition of prior learning - Students who have previously undertaken relevant study at a recognised tertiary education institution may be eligible for recognition of prior learning (RPL) if the subjects completed are deemed by the faculty to be equivalent to subjects in the student's course. Subjects completed as part of a qualification in which study ceased no more than 10 years prior to the student's first semester in the relevant UTS Engineering degree may be considered. Limits apply to the number of credit points of RPL granted. Course duration and attendance - Full-time students normally complete the program in five years, which includes four years of study plus two periods of engineering internship in the workplace totalling at least 48 weeks. The internship is typically taken in the third or fourth session and again in the seventh or eighth session. It is possible to complete the program entirely on a part-time basis, with continuous concurrent employment, by enrolling at half the full-time rate; however, this is not recommended. Students wishing to make extensive use of part-time attendance are strongly encouraged to negotiate with their employers for at least two full-time sessions of study somewhere through the program. Course structure - Students are required to complete 240 credit points, comprising:core program: 48 credit points, major (field of practice), including capstone: 120 credit points , professional engineering practice program: 48 credit points, plus 48 weeks of approved internship, electives (within this component students may undertake a faculty-approved sub-major totalling 24 credit points): 24 credit points. Students in the Civil Engineering major, Structures stream are recommended to complete 12 credit points of electives from approved postgraduate structural engineering subjects. Students in the Civil and Environmental Engineering, Electrical and Electronic Engineering, and Mechanical and Mechatronic Engineering majors are required to select the specialist stream in their major in place of the electives. The major is selected at the time of application to the course; however, it is possible to apply to change major at a later date. Students admitted to the flexible major should decide by the end of the first year of full-time study whether to transfer to a designated major or continue with the flexible program. The Diploma in Professional Engineering Practice is not offered as a standalone qualification. Industrial training/professional practice - The Diploma in Professional Engineering Practice requires the completion of two six-month internships and the Professional Engineering Practice Program. Completing 12 months of relevant engineering experience before graduating enables students to link learning in the workplace and learning at university, with each experience enhancing the other. Course completion requirements - In the course you will need to select one of the following 24 credit points: CBK90011 Electives 24cp, STM90848 Civil and Environmental Engineering specialist stream 24cp, STM90849 Mechanical and Mechatronic Engineering specialist stream 24cp, STM91414 Electrical and Electronic Engineering specialist stream 24cp, STM90106. And then undertake the following: Core subjects 48cp, STM90993 Professional Engineering Practice Program subjects 48cp, CBK90173 Major choice (Engineering) 120cp. Thus leaving you with a total of 240 credit points. Course program - The programs below show a suggested sequence of subjects for each major for a full-time student commencing the course in Autumn session. They are intended as a guide only and do not take into account such factors as recognition of prior learning, changes in attendance mode and subject availability, or satisfactory academic progress. Students should consult the Timetable Planner to confirm the availability of subjects in the current academic year. The following is a list of majors: MAJ03472 Biomedical Engineering, MAJ03472 Biomedical Engineering MAJ03001 Civil Engineering, MAJ03002 Civil and Environmental Engineering, MAJ03518 Data Science Engineering, MAJ03005 Electrical Engineering, MAJ03007 Mechanical Engineering, MAJ03012 Mechanical and Mechatronic Engineering, MAJ03504 Mechatronic Engineering, MAJ03523 Software Engineering, MAJ03540 Flexible Engineering, MAJ03524 Electronic Engineering, MAJ03537 Electrical and Electronic Engineering, MAJ03549 Renewable Energy Engineering, MAJ03544 Chemical Process Engineering"
https://www.handbook.uts.edu.au/eng/area/ug.html,"Capstone Project - In the final sessions of the degree, each student undertakes a Capstone Project, supervised by a member of academic staff and designed to consolidate and integrate learning in all aspects of the program. Industry-linked projects, under joint supervision, are strongly encouraged. The project topic must be approved by an academic supervisor and must be relevant to the field of practice concerned. It may be largely technical in emphasis or it may encompass a range of technical and contextual challenges. The Capstone Project results in a substantial report which must be written and produced to professional engineering standards and must demonstrate the student's readiness for professional engineering practice."
https://www.handbook.uts.edu.au/eng/area/ug.html,"Recognition of prior learning - Students with relevant prior formal learning completed as part of a qualification (such as other university study or TAFE qualifications) in which study ceased no more than 10 years prior to the student's first semester of study may be entitled to recognition of prior learning in the form of subject exemptions. The level of recognition of prior learning depends on the relevance of the area of study to the proposed major in the BE(Hons) DipProfEngPrac. For a TAFE diploma in the same area, students can expect to receive between 24 and 36 credit points of exemptions, depending on the grades obtained in the TAFE subjects. Exemption from part of the Engineering Practice Program is granted only on the basis of actual work experience completed before commencing the course that can be shown to meet the required standards. The maximum exemption given is for one work-experience session. Without exception, all students in the engineering practice program must complete all components associated with the second internship. The faculty reserves the right to advise any student who is admitted with recognition of prior learning, and who is not succeeding in the program, to undertake some or all of the subjects from which exemption had been granted."
https://www.handbook.uts.edu.au/eng/area/ug.html,"Majors - Majors are currently offered in the following engineering sub-disciplines: biomedical (not available in the BEngSc and combined degrees with medical science and science), civil (with specialisations in construction and structures), civil and environmental (not available in the BEngSc and combined degrees), data, electrical, electrical and electronic (not available in the BEngSc and combined degrees), electronic, flexible (no specified major), mechanical, mechanical and mechatronic (not available in the BEngSc and combined degrees), mechatronic, software. The name of the major completed appears on the student's academic transcript and testamur."
